symbol,snapshot_date,spot,expiry,right,strike,bid,ask,last_price,volume,open_interest,implied_vol,in_the_money,last_trade_date,contract_symbol
SPY,2026-09-21,761.6900024414062,2026-09-21,C,610.0,0.0,0.0,149.57,6.0,0.0,1.0000000000000003e-05,True,2026-09-14 13:44:23+00:00,SPY260921C00610000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,630.0,0.0,0.0,130.51,,0.0,1.0000000000000003e-05,True,2026-09-10 14:24:40+00:00,SPY260921C00630000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,650.0,0.0,0.0,109.37,1.0,0.0,1.0000000000000003e-05,True,2026-09-18 14:36:09+00:00,SPY260921C00650000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,660.0,0.0,0.0,101.71,30.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:47:37+00:00,SPY260921C00660000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,665.0,0.0,0.0,96.74,80.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:49:01+00:00,SPY260921C00665000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,670.0,0.0,0.0,91.62,122.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:46:56+00:00,SPY260921C00670000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,675.0,0.0,0.0,86.44,28.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:44:45+00:00,SPY260921C00675000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,680.0,0.0,0.0,81.77,234.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:59:26+00:00,SPY260921C00680000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,685.0,0.0,0.0,76.61,154.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:44:31+00:00,SPY260921C00685000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,690.0,0.0,0.0,71.03,214.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:36:57+00:00,SPY260921C00690000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,695.0,0.0,0.0,66.46,70.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:43:41+00:00,SPY260921C00695000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,700.0,0.0,0.0,61.36,242.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:43:14+00:00,SPY260921C00700000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,705.0,0.0,0.0,56.46,44.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:42:17+00:00,SPY260921C00705000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,710.0,0.0,0.0,51.42,123.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:44:01+00:00,SPY260921C00710000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,715.0,0.0,0.0,45.47,305.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:52:04+00:00,SPY260921C00715000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,718.0,0.0,0.0,43.91,154.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:55:37+00:00,SPY260921C00718000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,719.0,0.0,0.0,42.99,68.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:55:24+00:00,SPY260921C00719000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,720.0,0.0,0.0,41.26,128.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:39:47+00:00,SPY260921C00720000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,721.0,0.0,0.0,40.4,297.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:51:35+00:00,SPY260921C00721000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,722.0,0.0,0.0,39.19,120.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:25:25+00:00,SPY260921C00722000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,723.0,0.0,0.0,38.18,343.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:38:06+00:00,SPY260921C00723000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,724.0,0.0,0.0,37.23,152.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:01:24+00:00,SPY260921C00724000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,725.0,0.0,0.0,35.5,407.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:07:00+00:00,SPY260921C00725000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,726.0,0.0,0.0,35.43,478.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:05:14+00:00,SPY260921C00726000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,727.0,0.0,0.0,34.51,72.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:58:32+00:00,SPY260921C00727000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,728.0,0.0,0.0,33.52,121.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:58:32+00:00,SPY260921C00728000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,729.0,0.0,0.0,32.79,92.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:55:52+00:00,SPY260921C00729000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,730.0,0.0,0.0,31.66,217.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:56:42+00:00,SPY260921C00730000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,731.0,0.0,0.0,28.44,74.0,0.0,1.0000000000000003e-05,True,2026-09-18 17:16:05+00:00,SPY260921C00731000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,732.0,0.0,0.0,27.87,218.0,0.0,1.0000000000000003e-05,True,2026-09-18 18:11:10+00:00,SPY260921C00732000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,733.0,0.0,0.0,28.37,222.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:13:28+00:00,SPY260921C00733000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,734.0,0.0,0.0,25.39,168.0,0.0,1.0000000000000003e-05,True,2026-09-18 17:14:01+00:00,SPY260921C00734000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,735.0,0.0,0.0,24.88,93.0,0.0,1.0000000000000003e-05,True,2026-09-18 17:58:21+00:00,SPY260921C00735000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,736.0,0.0,0.0,23.89,160.0,0.0,1.0000000000000003e-05,True,2026-09-18 18:07:03+00:00,SPY260921C00736000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,737.0,0.0,0.0,25.69,28.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:07:36+00:00,SPY260921C00737000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,738.0,0.0,0.0,23.39,64.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:12:43+00:00,SPY260921C00738000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,739.0,0.0,0.0,21.88,119.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:30:45+00:00,SPY260921C00739000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,740.0,0.0,0.0,21.77,105.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:47:10+00:00,SPY260921C00740000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,741.0,0.0,0.0,20.25,128.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:22:40+00:00,SPY260921C00741000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,742.0,0.0,0.0,18.92,43.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:34:49+00:00,SPY260921C00742000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,743.0,0.0,0.0,18.7,357.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:59:51+00:00,SPY260921C00743000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,744.0,0.0,0.0,17.33,464.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:02:24+00:00,SPY260921C00744000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,745.0,0.0,0.0,17.74,266.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:07:22+00:00,SPY260921C00745000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,746.0,0.0,0.0,17.0,487.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:18+00:00,SPY260921C00746000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,747.0,0.0,0.0,14.21,215.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:26:31+00:00,SPY260921C00747000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,748.0,0.0,0.0,13.8,691.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:49:52+00:00,SPY260921C00748000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,749.0,0.0,0.0,13.01,1036.0,0.0,1.0000000000000003e-05,True,2026-09-18 19:55:27+00:00,SPY260921C00749000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,750.0,0.0,0.0,13.18,2725.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:13:03+00:00,SPY260921C00750000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,751.0,0.0,0.0,11.6,1934.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:03:29+00:00,SPY260921C00751000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,752.0,0.0,0.0,11.15,1822.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:34+00:00,SPY260921C00752000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,753.0,0.0,0.0,10.12,1764.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:11:02+00:00,SPY260921C00753000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,754.0,0.0,0.0,9.27,2481.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:12:25+00:00,SPY260921C00754000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,755.0,0.0,0.0,8.25,2925.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:11:04+00:00,SPY260921C00755000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,756.0,0.0,0.0,7.31,2771.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:59+00:00,SPY260921C00756000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,757.0,0.0,0.0,6.43,7300.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:46+00:00,SPY260921C00757000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,758.0,0.0,0.0,5.59,12529.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:13:53+00:00,SPY260921C00758000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,759.0,0.0,0.0,4.69,39348.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:43+00:00,SPY260921C00759000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,760.0,0.0,0.0,3.78,75144.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:59+00:00,SPY260921C00760000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,761.0,0.0,0.0,3.04,56689.0,0.0,1.0000000000000003e-05,True,2026-09-18 20:14:58+00:00,SPY260921C00761000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,762.0,0.0,0.0,2.38,62520.0,0.0,0.00196310546875,False,2026-09-18 20:14:58+00:00,SPY260921C00762000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,763.0,0.0,0.0,1.77,43495.0,0.0,0.007822421875,False,2026-09-18 20:14:59+00:00,SPY260921C00763000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,764.0,0.0,0.0,1.28,24576.0,0.0,0.015634843750000002,False,2026-09-18 20:14:57+00:00,SPY260921C00764000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,765.0,0.0,0.0,0.9,36214.0,0.0,0.015634843750000002,False,2026-09-18 20:14:59+00:00,SPY260921C00765000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,766.0,0.0,0.0,0.58,24270.0,0.0,0.0312596875,False,2026-09-18 20:14:58+00:00,SPY260921C00766000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,767.0,0.0,0.0,0.36,15203.0,0.0,0.0312596875,False,2026-09-18 20:14:58+00:00,SPY260921C00767000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,768.0,0.0,0.0,0.23,18494.0,0.0,0.0312596875,False,2026-09-18 20:14:58+00:00,SPY260921C00768000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,769.0,0.0,0.0,0.14,11797.0,0.0,0.0312596875,False,2026-09-18 20:14:58+00:00,SPY260921C00769000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,770.0,0.0,0.0,0.09,58171.0,0.0,0.062509375,False,2026-09-18 20:14:59+00:00,SPY260921C00770000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,771.0,0.0,0.0,0.05,4485.0,0.0,0.062509375,False,2026-09-18 20:14:58+00:00,SPY260921C00771000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,772.0,0.0,0.0,0.03,4171.0,0.0,0.062509375,False,2026-09-18 20:14:16+00:00,SPY260921C00772000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,773.0,0.0,0.0,0.02,3234.0,0.0,0.062509375,False,2026-09-18 20:14:47+00:00,SPY260921C00773000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,774.0,0.0,0.0,0.01,2094.0,0.0,0.062509375,False,2026-09-18 20:12:53+00:00,SPY260921C00774000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,775.0,0.0,0.0,0.01,1360.0,0.0,0.062509375,False,2026-09-18 20:14:29+00:00,SPY260921C00775000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,776.0,0.0,0.0,0.01,555.0,0.0,0.062509375,False,2026-09-18 20:14:59+00:00,SPY260921C00776000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,777.0,0.0,0.0,0.02,619.0,0.0,0.062509375,False,2026-09-18 19:50:10+00:00,SPY260921C00777000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,778.0,0.0,0.0,0.01,614.0,0.0,0.12500875,False,2026-09-18 19:51:43+00:00,SPY260921C00778000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,779.0,0.0,0.0,0.01,675.0,0.0,0.12500875,False,2026-09-18 16:10:43+00:00,SPY260921C00779000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,780.0,0.0,0.0,0.01,153.0,0.0,0.12500875,False,2026-09-18 20:14:47+00:00,SPY260921C00780000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,781.0,0.0,0.0,0.01,209.0,0.0,0.12500875,False,2026-09-18 19:21:49+00:00,SPY260921C00781000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,782.0,0.0,0.0,0.01,31.0,0.0,0.12500875,False,2026-09-18 20:04:43+00:00,SPY260921C00782000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,783.0,0.0,0.0,0.01,480.0,0.0,0.12500875,False,2026-09-18 19:54:00+00:00,SPY260921C00783000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,784.0,0.0,0.0,0.01,201.0,0.0,0.12500875,False,2026-09-18 13:35:46+00:00,SPY260921C00784000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,785.0,0.0,0.0,0.01,14.0,0.0,0.12500875,False,2026-09-18 20:12:27+00:00,SPY260921C00785000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,786.0,0.0,0.0,0.01,120.0,0.0,0.12500875,False,2026-09-18 13:36:57+00:00,SPY260921C00786000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,787.0,0.0,0.0,0.01,120.0,0.0,0.12500875,False,2026-09-18 13:36:44+00:00,SPY260921C00787000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,788.0,0.0,0.0,0.01,200.0,0.0,0.12500875,False,2026-09-18 13:36:18+00:00,SPY260921C00788000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,789.0,0.0,0.0,0.02,120.0,0.0,0.12500875,False,2026-09-16 19:41:47+00:00,SPY260921C00789000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,790.0,0.0,0.0,0.01,5.0,0.0,0.12500875,False,2026-09-18 16:33:35+00:00,SPY260921C00790000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,791.0,0.0,0.0,0.02,100.0,0.0,0.12500875,False,2026-09-16 19:52:35+00:00,SPY260921C00791000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,792.0,0.0,0.0,0.01,470.0,0.0,0.12500875,False,2026-09-16 20:10:26+00:00,SPY260921C00792000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,793.0,0.0,0.0,0.01,34.0,0.0,0.12500875,False,2026-09-16 19:16:52+00:00,SPY260921C00793000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,794.0,0.0,0.0,0.01,10.0,0.0,0.12500875,False,2026-09-17 18:30:44+00:00,SPY260921C00794000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,795.0,0.0,0.0,0.02,52.0,0.0,0.12500875,False,2026-09-16 19:24:49+00:00,SPY260921C00795000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,796.0,0.0,0.0,0.02,,0.0,0.12500875,False,2026-09-16 16:39:07+00:00,SPY260921C00796000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,797.0,0.0,0.0,0.02,10.0,0.0,0.2500075,False,2026-09-16 17:58:58+00:00,SPY260921C00797000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,798.0,0.0,0.0,0.02,1.0,0.0,0.2500075,False,2026-09-14 15:32:29+00:00,SPY260921C00798000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,799.0,0.0,0.0,0.01,,0.0,0.2500075,False,2026-09-16 19:25:38+00:00,SPY260921C00799000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,800.0,0.0,0.0,0.01,135.0,0.0,0.2500075,False,2026-09-17 14:47:54+00:00,SPY260921C00800000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,801.0,0.0,0.0,0.01,218.0,0.0,0.2500075,False,2026-09-17 19:25:22+00:00,SPY260921C00801000
SPY,2026-09-21,761.6900024414062,2026-09-21,C,802.0,0.0,0.0,0.01,,0.0,0.2500075,False,2026-09-17 19:56:46+00:00,SPY260921C00802000
