symbol,snapshot_date,spot,expiry,right,strike,bid,ask,last_price,volume,open_interest,implied_vol,in_the_money,last_trade_date,contract_symbol
GLD,2026-09-22,400.07000732421875,2026-09-22,C,280.0,119.45,120.3,117.91,1.0,0,3.03906490234375,True,2026-09-22 13:50:26+00:00,GLD260922C00280000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,285.0,114.45,115.3,113.92,6.0,0,2.906252734375,True,2026-09-22 18:38:27+00:00,GLD260922C00285000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,290.0,109.45,110.4,108.99,6.0,0,2.917971455078125,True,2026-09-22 18:38:27+00:00,GLD260922C00290000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,320.0,79.45,80.5,76.9,3.0,2,2.216801333007812,True,2026-09-22 16:07:39+00:00,GLD260922C00320000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,330.0,69.45,70.5,66.18,2.0,1,1.955078349609375,True,2026-09-22 14:42:15+00:00,GLD260922C00330000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,335.0,64.45,65.5,64.26,8.0,1,1.82421962890625,True,2026-09-22 19:04:18+00:00,GLD260922C00335000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,340.0,59.45,60.5,59.19,6.0,0,1.6953140234375002,True,2026-09-22 19:04:18+00:00,GLD260922C00340000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,345.0,54.45,55.5,54.23,8.0,1,1.5683615332031249,True,2026-09-22 19:04:18+00:00,GLD260922C00345000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,350.0,49.45,50.5,49.35,12.0,5,1.4404324853515624,True,2026-09-22 19:04:18+00:00,GLD260922C00350000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,374.0,25.5,26.5,25.65,122.0,3,0.8266618896484373,True,2026-09-22 19:19:28+00:00,GLD260922C00374000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,375.0,24.5,25.55,24.65,219.0,4,0.8203142968749999,True,2026-09-22 19:19:28+00:00,GLD260922C00375000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,376.0,23.5,24.5,23.2,268.0,3,0.7744163183593751,True,2026-09-22 18:58:01+00:00,GLD260922C00376000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,377.0,22.5,23.5,23.15,198.0,2,0.7485376708984376,True,2026-09-22 19:59:36+00:00,GLD260922C00377000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,378.0,21.5,22.4,22.15,114.0,1,0.6816438085937502,True,2026-09-22 19:59:36+00:00,GLD260922C00378000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,379.0,20.45,21.5,20.79,36.0,1,0.6962920996093751,True,2026-09-22 18:17:24+00:00,GLD260922C00379000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,380.0,19.5,20.5,18.85,76.0,4,0.6694368994140626,True,2026-09-22 18:58:03+00:00,GLD260922C00380000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,381.0,18.5,19.5,19.3,134.0,2,0.6430699755859376,True,2026-09-22 19:42:59+00:00,GLD260922C00381000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,382.0,17.5,18.5,18.3,98.0,1,0.6162147753906251,True,2026-09-22 19:42:59+00:00,GLD260922C00382000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,384.0,15.5,16.6,15.1,67.0,1,0.5927775097656252,True,2026-09-22 18:42:02+00:00,GLD260922C00384000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,385.0,14.5,15.7,15.15,95.0,7,0.5922892333984376,True,2026-09-22 19:34:28+00:00,GLD260922C00385000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,386.0,13.5,14.5,13.1,105.0,4,0.507817421875,True,2026-09-22 19:05:03+00:00,GLD260922C00386000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,387.0,12.5,13.3,12.5,55.0,6,0.41309180664062495,True,2026-09-22 20:14:36+00:00,GLD260922C00387000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,389.0,10.45,11.7,10.25,18.0,4,0.47363807617187503,True,2026-09-22 19:10:02+00:00,GLD260922C00389000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,390.0,9.45,10.55,10.21,73.0,75,0.40820904296875,True,2026-09-22 20:02:11+00:00,GLD260922C00390000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,391.0,8.45,9.4,7.9,22.0,13,0.3403386279296875,True,2026-09-22 18:45:07+00:00,GLD260922C00391000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,392.0,7.45,8.5,7.52,32.0,32,0.336920693359375,True,2026-09-22 18:17:46+00:00,GLD260922C00392000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,393.0,6.45,7.6,7.25,225.0,116,0.3286199951171874,True,2026-09-22 20:02:13+00:00,GLD260922C00393000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,394.0,5.45,6.6,6.25,287.0,37,0.29688203124999996,True,2026-09-22 20:02:13+00:00,GLD260922C00394000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,395.0,4.5,5.3,4.96,448.0,156,0.20117986328124998,True,2026-09-22 20:12:45+00:00,GLD260922C00395000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,396.0,3.45,4.15,4.16,821.0,112,0.13037979003906247,True,2026-09-22 20:02:11+00:00,GLD260922C00396000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,397.0,2.5,2.83,3.33,5183.0,144,1.0000000000000003e-05,True,2026-09-22 19:58:04+00:00,GLD260922C00397000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,398.0,1.51,1.83,1.5,8837.0,332,1.0000000000000003e-05,True,2026-09-22 20:14:50+00:00,GLD260922C00398000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,399.0,0.55,0.78,0.7,8664.0,372,1.0000000000000003e-05,True,2026-09-22 20:13:59+00:00,GLD260922C00399000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,400.0,0.07,0.12,0.07,16704.0,1279,0.00953138916015625,True,2026-09-22 20:12:39+00:00,GLD260922C00400000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,401.0,0.0,0.02,0.01,5743.0,680,0.030283134765625,False,2026-09-22 20:06:16+00:00,GLD260922C00401000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,402.0,0.0,0.01,0.02,3038.0,627,0.04688453125,False,2026-09-22 19:53:09+00:00,GLD260922C00402000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,403.0,0.0,0.01,0.01,965.0,745,0.06641558593750001,False,2026-09-22 20:03:23+00:00,GLD260922C00403000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,404.0,0.0,0.01,0.01,469.0,337,0.08594664062500001,False,2026-09-22 19:55:33+00:00,GLD260922C00404000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,405.0,0.0,0.01,0.01,517.0,416,0.1054776953125,False,2026-09-22 19:58:24+00:00,GLD260922C00405000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,406.0,0.0,0.01,0.01,151.0,172,0.12305564453125001,False,2026-09-22 19:51:57+00:00,GLD260922C00406000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,407.0,0.0,0.01,0.01,29.0,148,0.14063359375,False,2026-09-22 19:27:20+00:00,GLD260922C00407000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,408.0,0.0,0.01,0.04,267.0,275,0.1601646484375,False,2026-09-22 19:41:56+00:00,GLD260922C00408000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,409.0,0.0,0.01,0.01,432.0,316,0.1757894921875,False,2026-09-22 19:45:06+00:00,GLD260922C00409000
GLD,2026-09-22,400.07000732421875,2026-09-22,C,410.0,0.0,0.01,0.02,42.0,443,0.1914143359375,False,2026-09-22 19:58:43+00:00,GLD260922C00410000
